"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2018-12",,,"594.7","7","0.0",",7","11",",7","9",",7","0",",7","0","1,7","0",",7","22",",7","0",",7","0",",7","0",",7","-8.3",",7,08,","0",",T,7,24,","0.0","1,T,7,31,+","42.9",",,7,21,","16.1",",7,22,","1144.4","7","498.5",",7","167.7",",,,7",,,"0","1,T,,7","2.3",",7","6.3",",,,7","-1.8",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-01",,,"0.0","7","0.0",",7","12",",7","8",",7","2",",7","0","2,7","1",",7","30",",7","12",",7","0",",7","0",",7","-18.3",",7,31,","25",",,7,20,+","13.0","2,,7,18,","39.9",",,7,25,","14.4",",7,25,","1760.9","7","616.5",",7","140.8",",,,7",,,"13","2,,,7","-1.6",",7","3.1",",,,7","-6.2",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-02",,,"0.0","7","0.0",",7","10",",7","8",",7","3",",7","2",",7","1",",7","26",",7","6",",7","0",",7","0",",7","-18.3",",7,01,","51",",,7,21,+","51.0",",,7,13,","20.1",",,7,13,","16.7",",7,06,","2279.9","7","519.0",",7","81.9",",,,7",,,"102",",,,7","-0.2",",7","4.3",",,,7","-4.7",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-03",,,"0.0","7","0.0",",7","9",",7","8",",7","5","3,7","2","2,7","0",",7","24",",7","3",",7","2",",7","0",",7","-13.3",",7,08,+","203","3,,7,04,","89.0","2,,7,02,","22.6",",,7,22,","23.3",",7,31,","2777.4","7","497.5",",7","92.8",",,,7",,,"140","2,,,7","2.3",",7","7.6",",,,7","-3.0",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-04",,,"5.0","7","5.0",",7","17",",7","11",",7","0",",7","0",",7","0",",7","3",",7","0",",7","5",",7","0",",7","-4.4",",7,03,+","0",",,7,30,+","0.0",",,7,30,+","24.9",",,7,13,","25.0",",7,24,+","2995.6","7","218.2",",7","129.8",",,,7",,,"0",",,,7","11.2",",7","16.7",",,,7","5.8",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-05",,,"17.8","7","12.8",",7","21",",7","15",",7","0",",7","0",",7","0",",7","0",",7","0",",7","21",",7","0",",7","5.0",",7,13,","0",",,7,31,+","0.0",",,7,31,+","34.3",",,7,31,","30.0",",7,27,","3086.2","7","90.6",",7","239.2",",,,7",,,"0",",,,7","15.8",",7","20.8",",,,7","10.9",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-06",,,"97.5","7","79.7",",7","13",",7","7",",7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","2",",7","6.7",",7,04,","0",",,7,30,+","0.0",",,7,30,+","45.5",",,7,11,","32.8",",7,30,","3100.7","7","14.5",",7","162.0",",,,7",,,"0",",,,7","20.5",",7","26.2",",,,7","14.9",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-07",,,"302.4","7","204.9",",7","12",",7","8",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","11",",7","16.1",",7,26,","0",",,7,31,+","0.0",",,7,31,+","73.9",",,7,12,","35.6",",7,22,+","0.0","7","0.0",",7","182.0",",,,7",,,"0",",,,7","24.9",",7","30.6",",,,7","19.3",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-08",,,"437.8","7","135.4",",7","15",",7","10",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","3",",7","12.8",",7,31,+","0",",,7,31,+","0.0",",,7,31,+","41.1",",,7,23,","33.3",",7,20,","0.0","7","0.0",",7","118.8",",,,7",,,"0",",,,7","22.7",",7","28.4",",,,7","17.0",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-09",,,"483.3","7","45.5",",7","11",",7","4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","28",",7","0",",7","6.1",",7,21,+","0",",,7,30,+","0.0",",,7,30,+","14.5",",,7,03,","30.6",",7,24,","20.3","7","20.3",",7","25.2",",,,7",,,"0",",,,7","19.2",",7","25.2",",,,7","13.1",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-10",,,"491.6","7","8.3",",7","14",",7","9",",7","0",",7","0",",7","0",",7","1",",7","0",",7","5",",7","1",",7","-0.6",",7,20,","0",",,7,31,+","0.0",",,7,31,+","63.2",",,7,17,","32.2",",7,03,","182.2","7","161.9",",7","196.1",",,,7",,,"0",",,,7","13.4",",7","18.1",",,,7","8.6",",,,7",,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2019-11",,,"491.6","7","0.0",",7","8",",7","5",",7","0",",7","0",",7","0",",7","21",",7","1",",7","1",",7","0",",7","-7.2",",7,14,","0",",,7,30,+","0.0",",,7,30,+","22.6",",,7,01,","22.2",",7,01,","610.4","7","428.2",",7","78.6",",,,7",,,"0",",,,7","4.1",",7","9.2",",,,7","-1.0",",,,7",,,,,,,,,,
