date,year,month,park_type,raw_visitor_counts,raw_visitor_counts_monthly_total,fraction_to_monthly_total
2020-12-01,2020,12,Community Park,70804,506741,13.972423782563478
2020-12-01,2020,12,Flagship Park,41535,506741,8.196494856346733
2020-12-01,2020,12,Garden,4158,506741,0.8205375132464119
2020-12-01,2020,12,Historic House Park,1109,506741,0.21884947142623157
2020-12-01,2020,12,Jointly Operated Playground,74612,506741,14.72389248156356
2020-12-01,2020,12,Lot,48,506741,0.009472294525211103
2020-12-01,2020,12,Nature Area,19506,506741,3.8493036876826627
2020-12-01,2020,12,Neighborhood Park,131313,506741,25.913237728938455
2020-12-01,2020,12,Parkway,4624,506741,0.9124977059286696
2020-12-01,2020,12,Playground,127264,506741,25.11421021784304
2020-12-01,2020,12,Recreation Field/Courts,13259,506741,2.616524023120292
2020-12-01,2020,12,School Yard to Playground,424,506741,0.08367193497269809
2020-12-01,2020,12,Strip,334,506741,0.06591138273792727
2020-12-01,2020,12,Triangle/Plaza,9727,506741,1.9195210176401751
2020-12-01,2020,12,Undeveloped,1381,506741,0.27252580706909446
2020-12-01,2020,12,Waterfront Facility,1599,506741,0.3155458113710949
